Altium Designer Pick and Place Locations
C:\w\HS1-HS2\Altium\Project Outputs for HS1-HS2\Pick Place for HS1-HS2.csv

========================================================================================================================
File Design Information:

Date:       05/06/21
Time:       09:41
Revision:   83c5710a067d1a84a1eb374eee8a0e121c8cfce0
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"R5","4.7k","TopLayer","3-0603","16.2560","33.7820","270","Precision Thick Film Chip Resistor, 10 Ohm to 1M Ohm Range, 1% and 0.5% Tolerance, 0603 Size, 0.063 W"
"R4","4.7k","TopLayer","3-0603","14.6050","33.7820","270","Precision Thick Film Chip Resistor, 10 Ohm to 1M Ohm Range, 1% and 0.5% Tolerance, 0603 Size, 0.063 W"
"P9","BIG CAP 1000 uF","TopLayer","HDR1X3","6.9850","78.9940","0","Header, 3-Pin"
"R3","empty","TopLayer","3-0603","5.9690","24.3840","0","Precision Thick Film Chip Resistor, 10 Ohm to 1M Ohm Range, 1% and 0.5% Tolerance, 0603 Size, 0.063 W"
"P1","Teensy3.x","TopLayer","Teensy3.x","41.0730","54.6460","180",""
"P4","microSD Hirose","TopLayer","DM3D_microSD","63.5740","61.2775","180",""
"C29","T495X227K010ATE050","TopLayer","X","67.5640","76.4540","90","Solid Tantalum Chip Capacitor, Standard T495 Series - Low ESR, Surge Robust"
"U6","TLV70018DCKR","TopLayer","TI-DCK5_V","42.2910","26.7970","0","Single Output LDO, 200 mA, Fixed 1.8 V Output, 2 to 5.5 V Input, with Low IQ, 5-pin SC70 (DCK), -40 to 125 degC, Green (RoHS & no Sb/Br)"
"C26","1.0uF","TopLayer","0402","44.8310","26.4160","270","Ceramic Chip Capacitor - Standard"
"P28","Header 2","TopLayer","HDR1X2","13.5890","20.0660","180","Header, 2-Pin"
"P27","Header 2","TopLayer","HDR1X2","20.5740","22.3520","180","Header, 2-Pin"
"P26","HYDROPHONE_MON","TopLayer","HDR1X3","29.8450","25.2730","180","Header, 3-Pin"
"J1","MJ1-3510-SMT","TopLayer","CUI_MJ1-3510-SMT","5.5110","5.7130","0","3.5 mm, Mono, Right Angle, Surface Mount (SMT), Audio Jack Connector"
"U10","DS3231","TopLayer","DS3231","9.0030","45.7200","0",""
"R10","10k","TopLayer","3-0603","16.6370","62.8650","180","Precision Thick Film Chip Resistor, 10 Ohm to 1M Ohm Range, 1% and 0.5% Tolerance, 0603 Size, 0.063 W"
"R9","10k","TopLayer","3-0603","16.7640","54.2290","180","Precision Thick Film Chip Resistor, 10 Ohm to 1M Ohm Range, 1% and 0.5% Tolerance, 0603 Size, 0.063 W"
"R8","10k","TopLayer","3-0603","8.0010","72.6440","180","Precision Thick Film Chip Resistor, 10 Ohm to 1M Ohm Range, 1% and 0.5% Tolerance, 0603 Size, 0.063 W"
"P25","Header 2","TopLayer","HDR1X2","46.2280","75.3110","180","Header, 2-Pin"
"P18","Header 3","TopLayer","HDR1X3","54.9148","4.6080","90","Header, 3-Pin"
"C28","1.0uF","TopLayer","0402","42.4180","14.0970","0","Ceramic Chip Capacitor - Standard"
"C27","1.0uF","TopLayer","0402","42.5450","15.4940","0","Ceramic Chip Capacitor - Standard"
"U5","LP3985IM5-3.3","TopLayer","MF05A_N","58.5470","20.4470","180","Micropower, 150mA Low-Noise Ultra Low-Dropout CMOS Voltage Regulator"
"U4","LP3985IM5-3.3","TopLayer","MF05A_N","12.3710","25.8170","0","Micropower, 150mA Low-Noise Ultra Low-Dropout CMOS Voltage Regulator"
"U3","SGTL5000","TopLayer","QFN32","48.1850","21.1180","0","SGTL5000"
"U2","LP3985IM5-3.3","TopLayer","MF05A_N","37.8100","15.0380","90","Micropower, 150mA Low-Noise Ultra Low-Dropout CMOS Voltage Regulator"
"U1","TPS7A2033PDBVR","TopLayer","MF05A_N","61.3410","74.8070","270","Micropower, 150mA Low-Noise Ultra Low-Dropout CMOS Voltage Regulator"
"R2","100k","TopLayer","3-0603","52.5780","45.3390","180","Precision Thick Film Chip Resistor, 10 Ohm to 1M Ohm Range, 1% and 0.5% Tolerance, 0603 Size, 0.063 W"
"R1","100k","TopLayer","3-0603","52.5780","46.8630","0","Precision Thick Film Chip Resistor, 10 Ohm to 1M Ohm Range, 1% and 0.5% Tolerance, 0603 Size, 0.063 W"
"P17","HYDROPHONE","TopLayer","HDR1X3","40.0570","22.5150","180","Header, 3-Pin"
"P16","HYDROPHONE","TopLayer","HDR1X3","29.8450","22.4790","180","Header, 3-Pin"
"P15","pushbutton","TopLayer","SOP4","25.0490","65.0960","0",""
"P14","pushbutton","TopLayer","SOP4","25.0490","56.0790","0",""
"P13","pushbutton","TopLayer","SOP4","25.0490","74.2400","0",""
"P12","Header 2","TopLayer","HDR1X2","2.0320","15.1130","180","Header, 2-Pin"
"P11","Header 4","TopLayer","HDR1X4","18.8480","36.7390","90","Header, 4-Pin"
"P10","Header 6","TopLayer","HDR1X6","-0.4560","74.9660","90","Header, 6-Pin"
"P3","Header 2","TopLayer","HDR1X2","37.7190","75.3110","180","Header, 2-Pin"
"P2","switch","TopLayer","HDR1X3","25.6540","82.5500","180","Header, 3-Pin"
"C25","1.0uF","TopLayer","0402","38.7350","27.0510","270","Ceramic Chip Capacitor - Standard"
"C24","1.0uF","TopLayer","0402","36.0680","8.5090","0","Ceramic Chip Capacitor - Standard"
"C23","1.0uF","TopLayer","0402","35.3060","5.9690","0","Ceramic Chip Capacitor - Standard"
"C22","0.01uF","TopLayer","0402","56.6940","23.0230","180","Ceramic Chip Capacitor - Standard"
"C21","1uF","TopLayer","0402","61.3410","19.9390","90","Ceramic Chip Capacitor - Standard"
"C20","0.1uF","TopLayer","0402","55.8966","20.3278","90","Ceramic Chip Capacitor - Standard"
"C19","10uF","TopLayer","Tant0805","54.2814","20.1837","270",""
"C18","0.1uF","TopLayer","0402","45.5030","17.3080","180","Ceramic Chip Capacitor - Standard"
"C17","0.01uF","TopLayer","0402","16.1290","24.5110","0","Ceramic Chip Capacitor - Standard"
"C16","0.1uF","TopLayer","0402","52.7441","20.3278","90","Ceramic Chip Capacitor - Standard"
"C15","1uF","TopLayer","0402","9.5770","26.1980","270","Ceramic Chip Capacitor - Standard"
"C14","0.1uF","TopLayer","0402","15.1130","26.5430","270","Ceramic Chip Capacitor - Standard"
"C13","10uF","TopLayer","Tant0805","16.7640","26.5430","90",""
"C12","0.1uF","TopLayer","0402","44.5020","21.4990","90","Ceramic Chip Capacitor - Standard"
"C11","0.01uF","TopLayer","0402","40.2230","17.1970","90","Ceramic Chip Capacitor - Standard"
"C10","1uF","TopLayer","0402","37.3380","12.1920","0","Ceramic Chip Capacitor - Standard"
"C9","0.1uF","TopLayer","0402","37.4650","17.5260","0","Ceramic Chip Capacitor - Standard"
"C8","10uF","TopLayer","Tant0805","37.3380","19.3040","180",""
"C7","0.1uF","TopLayer","0402","46.4820","26.1620","270","Ceramic Chip Capacitor - Standard"
"C6","0.01uF","TopLayer","0402","60.2960","70.9970","270","Ceramic Chip Capacitor - Standard"
"C5","0.1uF","TopLayer","0402","18.0860","78.9030","180","Ceramic Chip Capacitor - Standard"
"C4","1uF","TopLayer","0402","61.6100","78.8670","180","Ceramic Chip Capacitor - Standard"
"C3","10uF","TopLayer","Tant0805","18.0860","80.3000","0",""
"C2","0.1uF","TopLayer","0402","62.3280","70.9970","270","Ceramic Chip Capacitor - Standard"
"C1","10uF","TopLayer","Tant0805","63.9790","70.9970","90",""
"P20","1x4 1.27mm","TopLayer","Header1x4_1.27mm","1.1430","62.1030","90",""
"P22","1x4 1.27mm","TopLayer","Header1x4_1.27mm","0.6350","33.6550","90",""
"P24","CoinCellHolder","BottomLayer","CoinCellHolder","8.1280","47.9610","90",""
